Training  for 1 epoch(s)
Epoch 1
Iteration:  100 	s:8.0101 	Average Loss:  2.7651070964336397
Iteration:  200 	s:8.5970 	Average Loss:  2.7094852817058563
Iteration:  300 	s:10.9233 	Average Loss:  2.5031289225816726
Iteration:  400 	s:10.7026 	Average Loss:  2.312898994088173
Iteration:  500 	s:9.8292 	Average Loss:  1.9589214442437515
Iteration:  600 	s:9.8608 	Average Loss:  1.4999319080077111
Iteration:  700 	s:9.8777 	Average Loss:  1.088554436985869
Iteration:  800 	s:9.9219 	Average Loss:  0.8155225619545672
Iteration:  900 	s:9.6470 	Average Loss:  0.6986547063366743
Iteration:  1000 	s:10.1681 	Average Loss:  0.49254239223599144
Iteration:  1100 	s:10.7370 	Average Loss:  0.48441039313016515
Iteration:  1200 	s:11.9148 	Average Loss:  0.5543804477103549
Iteration:  1300 	s:8.8362 	Average Loss:  0.48919168777545563
Iteration:  1400 	s:9.6537 	Average Loss:  0.39678875305542943
Iteration:  1500 	s:9.3019 	Average Loss:  0.48004143746295996
Iteration:  1600 	s:9.5183 	Average Loss:  0.2474982057383745
Iteration:  1700 	s:9.2302 	Average Loss:  0.3309996739290627
Iteration:  1800 	s:9.5607 	Average Loss:  0.40612051548130695
Iteration:  1900 	s:9.0673 	Average Loss:  0.3994595609196718
Iteration:  2000 	s:9.2569 	Average Loss:  0.3594730371240712
Iteration:  2100 	s:9.3458 	Average Loss:  0.3875146134921761
Iteration:  2200 	s:9.3034 	Average Loss:  0.37831491618529484
Iteration:  2300 	s:9.6244 	Average Loss:  0.3150223000424644
Iteration:  2400 	s:9.4324 	Average Loss:  0.3315754025004935
Iteration:  2500 	s:9.0024 	Average Loss:  0.12758102468860077
Iteration:  2600 	s:9.2155 	Average Loss:  0.31875201826838956
Iteration:  2700 	s:9.1699 	Average Loss:  0.16303637594461826
Iteration:  2800 	s:8.9248 	Average Loss:  0.33787445317873294
Iteration:  2900 	s:9.6464 	Average Loss:  0.22892423396679032
Iteration:  3000 	s:12.0399 	Average Loss:  0.32630353032193304
Iteration:  3100 	s:12.1194 	Average Loss:  0.1877472307320195
Iteration:  3200 	s:11.8542 	Average Loss:  0.21292129670434495
Iteration:  3300 	s:11.1726 	Average Loss:  0.327009317095267
Iteration:  3400 	s:13.6088 	Average Loss:  0.16842979152980933
Iteration:  3500 	s:13.2738 	Average Loss:  0.25668974547356227
Iteration:  3600 	s:11.5208 	Average Loss:  0.31333448357035737
Iteration:  3700 	s:11.3092 	Average Loss:  0.3313842622518032
Iteration:  3800 	s:11.3699 	Average Loss:  0.1273734779213182
Iteration:  3900 	s:10.6160 	Average Loss:  0.3156834467239023
Iteration:  4000 	s:11.5428 	Average Loss:  0.30898309332853796
Iteration:  4100 	s:10.3841 	Average Loss:  0.15219110057647728
Iteration:  4200 	s:10.3955 	Average Loss:  0.21486702710238434
Iteration:  4300 	s:10.4834 	Average Loss:  0.1685543836526517
Iteration:  4400 	s:11.1167 	Average Loss:  0.326686948791154
Iteration:  4500 	s:10.8822 	Average Loss:  0.23746323231947827
Iteration:  4600 	s:10.2003 	Average Loss:  0.13939933144896213
Iteration:  4700 	s:9.9376 	Average Loss:  0.14893341679237435
Iteration:  4800 	s:9.0239 	Average Loss:  0.13737927499176386
Iteration:  4900 	s:9.2174 	Average Loss:  0.26051371637433973
Iteration:  5000 	s:8.9603 	Average Loss:  0.12627029297267145
Iteration:  5100 	s:9.5156 	Average Loss:  0.2836934554788167
Iteration:  5200 	s:8.9084 	Average Loss:  0.19945945804563373
Iteration:  5300 	s:9.1029 	Average Loss:  0.17041343899974354
Iteration:  5400 	s:9.2385 	Average Loss:  0.07208580020960996
Iteration:  5500 	s:8.7608 	Average Loss:  0.18659113548654155
Iteration:  5600 	s:9.4546 	Average Loss:  0.19866763882310307
Iteration:  5700 	s:9.3841 	Average Loss:  0.2972427088068297
Iteration:  5800 	s:11.8634 	Average Loss:  0.12477438378788427
Iteration:  5900 	s:11.1630 	Average Loss:  0.11578951731354255
Iteration:  6000 	s:11.4314 	Average Loss:  0.3043853002254352
Iteration:  6100 	s:11.9177 	Average Loss:  0.12571119048097398
Iteration:  6200 	s:10.6663 	Average Loss:  0.18873655820846488
Iteration:  6300 	s:10.5625 	Average Loss:  0.18598024443908429
Iteration:  6400 	s:9.8116 	Average Loss:  0.21503453663809247
Iteration:  6500 	s:10.0684 	Average Loss:  0.24757440438154255
Iteration:  6600 	s:11.3070 	Average Loss:  0.12673605497998733
Iteration:  6700 	s:11.1921 	Average Loss:  0.34707663510337533
Iteration:  6800 	s:11.9780 	Average Loss:  0.2742850012996223
Iteration:  6900 	s:10.3978 	Average Loss:  0.18219741256756694
Iteration:  7000 	s:10.8698 	Average Loss:  0.10443354946390616
Iteration:  7100 	s:9.2985 	Average Loss:  0.17059059975176616
Iteration:  7200 	s:10.0051 	Average Loss:  0.2754862845509929
Iteration:  7300 	s:10.1930 	Average Loss:  0.09403744544183108
Iteration:  7400 	s:9.7292 	Average Loss:  0.18239861927832898
Iteration:  7500 	s:10.6143 	Average Loss:  0.22384489151903358
Iteration:  7600 	s:9.5034 	Average Loss:  0.13761968883563938
Iteration:  7700 	s:10.0356 	Average Loss:  0.2204343049421932
Iteration:  7800 	s:10.8060 	Average Loss:  0.21168366904636288
Iteration:  7900 	s:9.9812 	Average Loss:  0.164798868959009
Iteration:  8000 	s:10.5281 	Average Loss:  0.2209436082290606
Iteration:  8100 	s:9.9926 	Average Loss:  0.20135822829616107
Iteration:  8200 	s:9.7608 	Average Loss:  0.14212795072996187
Iteration:  8300 	s:10.5219 	Average Loss:  0.1399161494341688
Iteration:  8400 	s:10.4528 	Average Loss:  0.1775349018355145
Iteration:  8500 	s:10.3352 	Average Loss:  0.1063843773222013
Iteration:  8600 	s:9.7695 	Average Loss:  0.06383307949633525
Iteration:  8700 	s:10.1895 	Average Loss:  0.22925741127868243
Iteration:  8800 	s:10.3000 	Average Loss:  0.14495009766211123
Iteration:  8900 	s:9.5512 	Average Loss:  0.17643077718332323
Iteration:  9000 	s:10.0990 	Average Loss:  0.2205061358392246
Iteration:  9100 	s:11.5742 	Average Loss:  0.22596572946867852
Iteration:  9200 	s:10.6064 	Average Loss:  0.13142617490541122
Iteration:  9300 	s:10.3971 	Average Loss:  0.1322202615749452
Iteration:  9400 	s:10.0489 	Average Loss:  0.16275011113869095
Iteration:  9500 	s:10.5832 	Average Loss:  0.2066606356613674
Iteration:  9600 	s:10.0640 	Average Loss:  0.09912953683405075
Iteration:  9700 	s:9.8033 	Average Loss:  0.22375265307879225
Iteration:  9800 	s:9.9029 	Average Loss:  0.10182435967791655
Iteration:  9900 	s:9.9963 	Average Loss:  0.26039427542624977
Iteration:  10000 	s:9.6610 	Average Loss:  0.11512139912046894
Iteration:  10100 	s:10.1147 	Average Loss:  0.2051367288967828
Iteration:  10200 	s:10.4749 	Average Loss:  0.16498066319731922
Iteration:  10300 	s:10.8393 	Average Loss:  0.18874618300198884
Iteration:  10400 	s:11.3384 	Average Loss:  0.3002178131517785
Iteration:  10500 	s:11.1779 	Average Loss:  0.14403194097280217
Iteration:  10600 	s:11.5382 	Average Loss:  0.16359087503002004
Iteration:  10700 	s:12.2882 	Average Loss:  0.22039236131623105
Iteration:  10800 	s:10.9735 	Average Loss:  0.1598230515893871
Iteration:  10900 	s:11.4851 	Average Loss:  0.0897235942074217
Iteration:  11000 	s:11.7163 	Average Loss:  0.13318534633575518
Iteration:  11100 	s:10.1042 	Average Loss:  0.13536589244939598
Iteration:  11200 	s:9.9665 	Average Loss:  0.08617658619771192
Iteration:  11300 	s:9.9395 	Average Loss:  0.12958570279918327
Iteration:  11400 	s:10.4245 	Average Loss:  0.19166528276343894
Iteration:  11500 	s:10.1651 	Average Loss:  0.17562173550686347
Iteration:  11600 	s:9.8104 	Average Loss:  0.2144468660296679
Iteration:  11700 	s:10.5609 	Average Loss:  0.0950107374336589
Iteration:  11800 	s:11.1996 	Average Loss:  0.14618070524088317
Iteration:  11900 	s:10.7638 	Average Loss:  0.2547775753117772
Iteration:  12000 	s:17.4745 	Average Loss:  0.16164012023745605
Iteration:  12100 	s:18.7673 	Average Loss:  0.20084246900624106
Iteration:  12200 	s:10.9413 	Average Loss:  0.07253187746915817
Iteration:  12300 	s:10.6663 	Average Loss:  0.31592828946515283
Iteration:  12400 	s:10.4585 	Average Loss:  0.16601649796399578
Iteration:  12500 	s:10.6878 	Average Loss:  0.14784181220365325
Iteration:  12600 	s:10.4007 	Average Loss:  0.23816521890740575
Iteration:  12700 	s:10.4030 	Average Loss:  0.13369468386850258
Iteration:  12800 	s:11.5863 	Average Loss:  0.08671797658147025
Iteration:  12900 	s:10.9649 	Average Loss:  0.10493620250440518
Iteration:  13000 	s:10.7326 	Average Loss:  0.1425091770101708
Iteration:  13100 	s:12.3746 	Average Loss:  0.11285939190784379
Iteration:  13200 	s:11.9580 	Average Loss:  0.11859551777930502
Iteration:  13300 	s:13.3147 	Average Loss:  0.1699129337187321
Iteration:  13400 	s:11.3942 	Average Loss:  0.2575815163223064
Iteration:  13500 	s:15.3124 	Average Loss:  0.1484054722610149
Iteration:  13600 	s:12.1039 	Average Loss:  0.07476406578499976
Iteration:  13700 	s:11.2714 	Average Loss:  0.09078011964058945
Iteration:  13800 	s:12.4873 	Average Loss:  0.07573287989209354
Iteration:  13900 	s:12.2204 	Average Loss:  0.1306470926549762
Iteration:  14000 	s:11.5954 	Average Loss:  0.12273021097856304
Iteration:  14100 	s:12.7142 	Average Loss:  0.14612181774828428
Iteration:  14200 	s:12.7928 	Average Loss:  0.11619884990381564
Iteration:  14300 	s:14.7964 	Average Loss:  0.11505191535871781
Iteration:  14400 	s:15.4832 	Average Loss:  0.239420266185226
Iteration:  14500 	s:11.5925 	Average Loss:  0.1393242468875831
Iteration:  14600 	s:11.4231 	Average Loss:  0.0705127312541136
Iteration:  14700 	s:12.0090 	Average Loss:  0.02976672750772469
Iteration:  14800 	s:11.5210 	Average Loss:  0.010499949063557423
Iteration:  14900 	s:11.4146 	Average Loss:  0.03607473507778417
Iteration:  15000 	s:12.3515 	Average Loss:  0.5402113879380366
Epoch time:  1609.4322028160095
{addition(tensor(train(0)),tensor(train(1)),5): tensor(0.9627, grad_fn=<MulBackward0>)}

Process finished with exit code 0


Training  for 1 epoch(s)
Epoch 1
Iteration:  100 	s:8.3671 	Average Loss:  2.7674997234344483
Iteration:  200 	s:8.9096 	Average Loss:  2.682936192750931
Iteration:  300 	s:9.2145 	Average Loss:  2.4304668839275836
Iteration:  400 	s:9.7833 	Average Loss:  1.9792603290081023
Iteration:  500 	s:9.2574 	Average Loss:  1.380981151962187
Iteration:  600 	s:9.5748 	Average Loss:  0.8457330927648582
Iteration:  700 	s:9.1524 	Average Loss:  0.8146817100758199
Iteration:  800 	s:9.4996 	Average Loss:  0.6307771178535768
Iteration:  900 	s:10.0758 	Average Loss:  0.6474240547738737
Iteration:  1000 	s:9.4619 	Average Loss:  0.47403725386728185
Iteration:  1100 	s:9.3251 	Average Loss:  0.5236863095326407
Iteration:  1200 	s:9.8692 	Average Loss:  0.5726750800573609
Iteration:  1300 	s:9.6162 	Average Loss:  0.4366698580325465
Iteration:  1400 	s:9.3565 	Average Loss:  0.4524848231316901
Iteration:  1500 	s:9.4832 	Average Loss:  0.4180421655497048
Iteration:  1600 	s:9.4543 	Average Loss:  0.22152184792728805
Iteration:  1700 	s:9.2265 	Average Loss:  0.35750156188507387
Iteration:  1800 	s:9.5824 	Average Loss:  0.486955241221367
Iteration:  1900 	s:9.2777 	Average Loss:  0.39528600316651136
Iteration:  2000 	s:9.6299 	Average Loss:  0.44258705658241526
Iteration:  2100 	s:9.1790 	Average Loss:  0.3787418723019618
Iteration:  2200 	s:9.4884 	Average Loss:  0.44543302452142597
Iteration:  2300 	s:9.3426 	Average Loss:  0.3850669626670424
Iteration:  2400 	s:9.3251 	Average Loss:  0.43540961145259643
Iteration:  2500 	s:9.3179 	Average Loss:  0.11996954588088556
